366	DDIT3
367	LCK
368	RAB35
369	AKR1C2
370	NTRK1
371	GDF5
372	BLM
373	ARHGEF1
374	CLU
375	HNRNPUL1
376	JAK2
377	UNG
378	CPSF4
379	HNRNPA1
380	GALK1
381	FES
382	ZNF7
383	USP14
384	ENO1
385	KAT6A
386	ATP5MF
387	ARHGAP10
388	VAMP3
389	ZYX
390	CCR4
391	RPL13
392	ADRB2
393	F2R
394	MIR10B
395	MIRLET7G
396	CLK1
397	PAIP1
398	ATP1B1
399	ARHGEF2
400	VCAM1
401	EP300
402	NR1H4
403	NDUFB9
404	BIN1
405	EGFR
406	COX5A
407	LYPLA2
408	GPX4
409	SYMPK
410	TGFBR3
411	POLR2I
412	JAM3
413	MTAP
414	HACD1
415	MIRLET7E
416	SMC3
417	MECP2
418	RAG1
419	FGB
420	SMN1
421	TAF3
422	SIRT2
423	SLC9A3R1
424	CYLD
425	GNAI3
426	C1QB
427	PLOD1
428	GSTM2
429	PEX19
430	FGF2
431	PSMD1
432	MTOR
433	SIRT1
434	COL4A2
435	PDE3B
436	PDGFRB
437	LRP2
438	KAT8
439	TRADD
440	SNRNP70
441	CRY1
442	RXRA
443	THOC7
444	RFC1
445	RPA2
446	GBP1
447	AURKA
448	MIR9-2
449	RPA1
450	ATP2B2
451	DCAF1
452	NCOA1
453	MED17
454	MIR15B
455	PSMC3
456	AMOTL2
457	PEX1
458	ABL1
459	NUP42
460	ATXN1L
461	TP53
462	SNAP25
463	RPTOR
464	CAPN1
465	FLI1
466	SMARCA4
467	CERS6
468	EIF5
469	TRPM7
470	GNL3
471	TP63
472	SYVN1
473	SMARCE1
474	MRPL10
475	FN1
476	ACO2
477	PIK3R2
478	TRAF6
479	H3-4
480	TAF12
481	ENO2
482	HERC2
483	AGO2
484	NQO1
485	RFC4
486	UBE2A
487	SLC9A1
488	CUL3
489	SYCP3
490	CEP164
491	NR3C1
492	S100A1
493	PTPN1
494	MIR34A
495	RALBP1
496	SFN
497	CCNT1
498	PTGER4
499	FLOT2
500	PPM1B
501	TAB2
502	GK
503	PDCD4
504	GMPPB
505	STX8
506	CDKN1A
507	TCOF1
508	FHIT
509	TWISTNB
510	SLC4A1
511	PIK3C2A
512	PTGS2
513	MYH11
514	IL23A
515	NXF1
516	ITGA4
517	PDIA3
518	PRDX6
519	FBXL2
520	MRPL2
521	AARS1
522	COLGALT2
523	PGAM5
524	IPPK
525	PKM
526	MIR199A1
527	TUBG1
528	EIF3G
529	TUBA1C
530	KRT10
531	FARS2
532	PAFAH1B1
533	LAMP1
534	MVD
535	FANCG
536	SLK
537	OGT
538	ABAT
539	NFYC
540	GPD1
541	BAX
542	SEC22B
543	STX3
544	KIT
545	HEATR1
546	APOA1
547	RACK1
548	RPL23
549	PSME3
550	SLC9A6
551	ARHGEF6
552	EXOC2
553	ECH1
554	MPHOSPH8
555	SNRPD3
556	CPSF1
557	IKBKB
558	RAF1
559	REXO1
560	SOS1
561	BAG1
562	CHMP2A
563	WDR5
564	MYLK2
565	RPA3
566	MTNR1A
567	IGF2R
568	ASIC4
569	TBXA2R
570	POLD4
571	RPIA
572	TUBB3
573	HSPA8
574	GATA3
575	PPP1R15A
576	HIF1A
577	BTRC
578	DNA2
579	OS9
580	MAP3K14
581	B2M
582	IL6ST
583	HSPA5
584	MDM2
585	ANAPC4
586	CDK1
587	LPAR6
588	KMT2E
589	TRA2B
590	CTH
591	PPP1R12C
592	MIR25
593	GPC4
594	UBE2T
595	H2AW
596	PSMB2
597	ATXN3
598	SNW1
599	GNG5
600	NFATC2
601	NCL
602	CTNNB1
603	FUT1
604	S100B
605	SPTA1
606	DAPK1
607	CASP8
608	ARPC4
609	RHOC
610	ATF2
611	U2SURP
612	DOCK8
613	HDAC2
614	LSM1
615	VDAC3
616	COX6C
617	PPP1R12A
618	PCGF2
619	NR1H3
620	HDAC5
621	BUD31
